"idcalle","calle","localidad","departamento"
8042,"BOULEVARD JOSE BATLLE Y ORDOÑEZ","MONTEVIDEO","MONTEVIDEO"
8045,"BRENDA","MONTEVIDEO","MONTEVIDEO"
8050,"CADIZ","MONTEVIDEO","MONTEVIDEO"
8051,"CAGANCHA","MONTEVIDEO","MONTEVIDEO"
8052,"CAMINO PASO DEL SAUCE","MONTEVIDEO","MONTEVIDEO"
8052,"CAMINO PASO DEL SAUCE","ABAYUBA","MONTEVIDEO"
8053,"CAMINO AL PASO HONDO","MONTEVIDEO","MONTEVIDEO"
8056,"CAMINO AL PUENTE ROTO","MONTEVIDEO","MONTEVIDEO"
8059,"CNO ALCION","MONTEVIDEO","MONTEVIDEO"
8060,"CAMINO ANAYA","SANTIAGO VAZQUEZ","MONTEVIDEO"
8060,"CAMINO ANAYA","MONTEVIDEO","MONTEVIDEO"
8062,"CNO BAJO DE LA PETIZA","MONTEVIDEO","MONTEVIDEO"
8067,"CAMINO BENITO BERGES","MONTEVIDEO","MONTEVIDEO"
8069,"CAMINO CAPITAN MATEO TULA DUFORT","MONTEVIDEO","MONTEVIDEO"
8070,"CAMINO CARMELO COLMAN","MONTEVIDEO","MONTEVIDEO"
8071,"CAMINO CARRASCO","MONTEVIDEO","MONTEVIDEO"
8072,"CAMINO CASAVALLE","MONTEVIDEO","MONTEVIDEO"
8073,"CAMINO CORONEL FERRES","MONTEVIDEO","MONTEVIDEO"
8075,"CAMINO CORONEL RAIZ","MONTEVIDEO","MONTEVIDEO"
8075,"CAMINO CORONEL RAIZ","ABAYUBA","MONTEVIDEO"
8080,"CAMINO DE LA PAZ A MENDOZA","MONTEVIDEO","MONTEVIDEO"
8080,"CAMINO DE LA PAZ A MENDOZA","ABAYUBA","MONTEVIDEO"
8081,"FRANCISCO ACUÑA DE FIGUEROA","MONTEVIDEO","MONTEVIDEO"
8082,"ALAGOAS","MONTEVIDEO","MONTEVIDEO"
8083,"ALCIDES DE MARIA","MONTEVIDEO","MONTEVIDEO"
8084,"ALEJANDRO FIOL DE PEREDA","MONTEVIDEO","MONTEVIDEO"
8085,"ALMERIA","MONTEVIDEO","MONTEVIDEO"
8086,"AMBROSIO VELAZCO","MONTEVIDEO","MONTEVIDEO"
8087,"CNO AMERICA","MONTEVIDEO","MONTEVIDEO"
8088,"ANDRES AGUIAR","MONTEVIDEO","MONTEVIDEO"
8089,"ANDRES LATORRE","MONTEVIDEO","MONTEVIDEO"
8090,"ANZANI","MONTEVIDEO","MONTEVIDEO"
8091,"APOSTOLES","MONTEVIDEO","MONTEVIDEO"
8092,"ARAPEY","MONTEVIDEO","MONTEVIDEO"
8093,"AREGUATI","MONTEVIDEO","MONTEVIDEO"
8094,"ASUNCION","MONTEVIDEO","MONTEVIDEO"
8095,"ATAHONA","MONTEVIDEO","MONTEVIDEO"
8096,"AVENIDA AGRACIADA","MONTEVIDEO","MONTEVIDEO"
8097,"AV DR CARLOS MARIA RAMIREZ","MONTEVIDEO","MONTEVIDEO"
8098,"AVENIDA CENTRAL","MONTEVIDEO","MONTEVIDEO"
8099,"AVENIDA DE LAS INSTRUCCIONES","MONTEVIDEO","MONTEVIDEO"
8099,"AVENIDA DE LAS INSTRUCCIONES","TOLEDO CHICO","MONTEVIDEO"
8100,"AVENIDA DE LAS LEYES","MONTEVIDEO","MONTEVIDEO"
8101,"SILVESTRE OCHOA","SANTIAGO VAZQUEZ","MONTEVIDEO"
8101,"SILVESTRE OCHOA","MONTEVIDEO","MONTEVIDEO"
8102,"AVENIDA DEL ZODIACO","MONTEVIDEO","MONTEVIDEO"
8103,"AVENIDA DON PEDRO DE MENDOZA","MONTEVIDEO","MONTEVIDEO"
8105,"AVENIDA GENERAL EUGENIO GARZON","MONTEVIDEO","MONTEVIDEO"
8106,"AVENIDA GENERAL FLORES","MONTEVIDEO","MONTEVIDEO"
8107,"AV GRAL RIVERA","MONTEVIDEO","MONTEVIDEO"
8108,"AVENIDA GENERAL SAN MARTIN","MONTEVIDEO","MONTEVIDEO"
8110,"AVENIDA ITALIA","MONTEVIDEO","MONTEVIDEO"
8112,"AVENIDA JOAQUIN SUAREZ","MONTEVIDEO","MONTEVIDEO"
8113,"AVENIDA JOSE BELLONI","MONTEVIDEO","MONTEVIDEO"
8116,"AV JULIO MARIA SOSA","MONTEVIDEO","MONTEVIDEO"
8117,"AVENIDA LEZICA","MONTEVIDEO","MONTEVIDEO"
8118,"AVENIDA DOCTOR LUIS ALBERTO DE HERRERA","MONTEVIDEO","MONTEVIDEO"
8119,"AVENIDA LUIS BATLLE BERRES","SANTIAGO VAZQUEZ","MONTEVIDEO"
8119,"AVENIDA LUIS BATLLE BERRES","MONTEVIDEO","MONTEVIDEO"
8132,"AVENIDA LUIS BRAILLE","MONTEVIDEO","MONTEVIDEO"
8133,"AVENIDA OCHO DE OCTUBRE","MONTEVIDEO","MONTEVIDEO"
8134,"AYACUCHO","MONTEVIDEO","MONTEVIDEO"
8135,"AZARA","MONTEVIDEO","MONTEVIDEO"
8137,"BERNABE CARAVIA","MONTEVIDEO","MONTEVIDEO"
8139,"BESARES","MONTEVIDEO","MONTEVIDEO"
8140,"BESNES E IRIGOYEN","MONTEVIDEO","MONTEVIDEO"
8143,"BOULEVARD GENERAL JOSE GERVASIO ARTIGAS","MONTEVIDEO","MONTEVIDEO"
8146,"CAMINO DE LAS COLINAS","MONTEVIDEO","MONTEVIDEO"
8148,"CAMINO DE LOS ALVAREZ","MONTEVIDEO","MONTEVIDEO"
